course_code,course_title,credit_hours,course_desc,pre-requisite,course_objectives,course_outcomes
B207-A,Shaping Business Opportunities,8,"B207A is an 8-credit (30 points), Level 5 UK-OU based course offered through the Business Program at the Arab Open University as a compulsory course for all students enrolled in all tracks in the program. Entry into this course is contingent upon the successful completion of BUS110. The B207 module in this new study plan is an OU updated version of its equivalent B203A module.",BUS110,"This module is designed to provide intermediate conceptual and practical learning to students in operations management, marketing and human resource management. The module comprises 16 study weeks (including final assessment).","A. Knowledge and understandingAt the end of the module, learners will be expected to:Develop a critical appreciation of the interactions between various business functions (operations management, marketing and human resource management) and the integrative complexity that shapes business innovation.Develop a critical understanding of why new products and services are imperative to contemporary business practice. Also to develop knowledge and understanding of external issues affecting the successful running of organizations, including how they compete in a global context.Develop knowledge and understanding of the elements required to build long-term success in organizations, and how students can contribute to the fostering of long-term value creation.develop knowledge and critical understanding of the theories, concepts and models of different business functions (operations management, marketing and human resource management).B. Cognitive skillsAt the end of the module learners will be expected to:Select andcritically analyse information relevant to a particular problem or issue related to business and management.Evaluate and compare competing perspectives, theoretical models and concepts in the context of practical situationsGather and synthesise material from a variety of sources in constructing arguments applied to business and managementC. Practical and professional skillsAt the end of the module, learners will be expected to:Communicate in a professional manner in written work, face to face and online. Plan, monitor and review progress as independent learner, including a focus on personal skills development.Develop an awareness of ethical issues and professional standards relevant to business and managementD. Key transferable skillsAt the end of the module, learners will be expected to:Search for and use relevant digital and non-digital information from sources other than the module materials.Compare critically and use different approaches to issues and problems within business management. Engage in critical reflection.Consolidate an understanding of academic language and literacy practices in order to effectively engage with the academic knowledge and skills of Level 5 study."
B207-B,Shaping Business Opportunities,8,"B207B is an 8-credit (30 points), Level 5 UK-OU based course offered through the Business Program at the Arab Open University as a compulsory course for all students enrolled in all tracks in the program. Entry into this course is contingent upon the successful completion of B207A.",B207A,This module is designed to provide intermediate conceptual and practical learning to students in management and accounting. The module comprises 16 study weeks (including final assessment).,"A. Knowledge and understandingAt the end of the module, learners will be expected to:Develop a critical appreciation of the interactions between various business functions (management and accounting) and the integrative complexity that shapes business innovation.Develop knowledge and understanding of the elements required to build long-term success in organizations, and how students can contribute to the fostering of long-term value creation.develop knowledge and critical understanding of the theories, concepts and models of different business functions.B. Cognitive skillsAt the end of the module learners will be expected to:Select andcritically analyse information relevant to a particular problem or issue related to business and management.Evaluate and compare competing perspectives, theoretical models and concepts in the context of practical situationsGather and synthesise material from a variety of sources in constructing arguments applied to business and managementC. Practical and professional skillsAt the end of the module, learners will be expected to:Communicate in a professional manner in written work, face to face and online. Plan, monitor and review progress as independent learner, including a focus on personal skills development.Develop an awareness of ethical issues and professional standards relevant to business and managementD.Key transferable skillsAt the end of the module, learners will be expected to:Search for and use relevant digital and non-digital information from sources other than the module materials.Compare critically and use different approaches to issues and problems within business management. Engage in critical reflection.Consolidate an understanding of academic language and literacy practices in order to effectively engage with the academic knowledge and skills of Level 5 study."
BUS110,Introduction to Business,8,"""Introduction to Business is an introductory course, which surveys the role of business in society. At its simplest level, business is the exchange of goods and services for mutual benefit or profit. Students will be exposed to a wide variety of topics including the terms, trends, organizational structure and opportunities inherent in this exchange, the course introduces the student to the contemporary business world, the business of managing, people in organizations, the principles of marketing, managing information, and financial issues.",EL111,"The primary objective is to give the student an understanding of basic business principles. Global business, entrepreneurship, management, marketing, information technology, and financialmanagement will be discussed. Another purpose of this course is to build a foundation of knowledge on the different theoretical approaches to management and decision making  develop analytical skills to identify the links between the functional areas in management, organisations, management practices and the business environment.Learning Objectives: Upon completion of the course students will have a firm understanding of the following business topics:Therelationship between business and society in a free market economyCommon forms of business ownershipBusiness ethics and social responsibilityInternational business and the global economyFundamentals of business managementBusiness organization and structureHuman resources, motivation and productivityMarketing, accounting, finance, operations management and other business specialties","A. Knowledge and understandingAt the end of the module, learners will be expected to:Identify business functionsRecognize different business models and formsAcquire knowledge of business ethics and social responsibilityBe aquatinted with the fundamentals of management.B. Cognitive skillsAt the end of the module learners will be expected to:Differentiate between business structures and business forms.Examine different models and theories and its effect in business lifeanalysing and evaluating different perspectives, identifying biases and hidden assumptions in different models and forms of businesses.C. Practical and professional skillsAt the end of the module, learners will be expected to:Analyse different business-related situations and forms.Deduce problems and solutions and its pathwaysD. Key transferable skillsAt the end of the module, learners will be expected to:Read financial and business related reportsCommunicate knowledge and understanding of business issues to different stakeholders.Analyse situations in an academic manner."
BUS310,Strategic Management,8,"Strategic Management: This module examines concepts and  the different approaches to - and techniques of - strategic management including analysis of the external and internal environments, the nature of competitive advantage, development of the organization and how they make strategic choices as to where and how to position themselves in relation to their customers and competitors. The module   has been designed to encourage and develop greater critical analytical skills especially at level 3. Significant amount of case study work have been embedded to develop the students analytical and problem solving skills.",B207B,Provide students with concepts and tangible strategic skills that can readily be put into practice in often changing business environments.Present the 21st century competitive/business landscape from a strategic management perspective and to assess how global and technological influences shape itProvide students with a critical overview of the main tools of contemporary strategic practice in organizations in a way which is relevant to their professional needsAchieving the intended learning outcomes (covering both knowledge and skills) fully supports this aim.,"A.Knowledge andunderstandingAttheendofthemodule,learnerswill beexpectedto:develop anddemonstratethefollowingKnowledgeandunderstanding:The structure and dynamics of business environments; how businesses seek to track and analyse their environments;Markets, market economies and how they function; how consumers, firms and governments behave as economic agents; why and how markets fail and how this failure is managed;Business processes and how they operate; the nature, structure and functioning of organisations; how and why organisations are changing;Key business functions such as Marketing, Human Resources, Information Management, Accounting & Finance, Operations  their nature and contribution to organisational success, their historic origins and their interactions;How businesses develop strategies; the different forms and theories of strategy;How organisations make decisions and organise decision-making processes; the various sources of decision-making irrationality; the nature, role and implications of governmental, regional and supranational business policy on businesses;How to apply key ideas in mathematics, including some statistics, and algebra.B.CognitiveskillsAt the end of the module learners will be expected to:Read material questioningly, identifying and recording key ideas and concepts in business studies;Synthesise material from a variety of sources, analysing and evaluating different perspectives, identifying biases and hidden assumptions;Classify, recognise and organise material in distinct and relevant categories;Construct, defend and evaluate an argument, using relevant evidence, giving reasons for conclusions.C.Practicaland professional skillsAt the end of the module, learners will be expected to:Transfer and use relevant key skills in the workplace context;Use the more specific knowledge, analytic skills and methods, rooted in the different disciplines as a strong basis for work in many professions;Students will have become better informed, more active and questioning members of an organisation by:The ability to engage critically with the underlying challenges and problems facing a business;The ability to identify and evaluate conflicting arguments, including recognising the significance of different value positions in these arguments.D.Keytransferable skillsAt the end of the module, learners will be expected to:Interpersonal skills of effective listening, negotiating, persuasion and presentation;Ability to conduct research into business and management issues, either individually or as part of a team for projects/dissertations/presentations. This requires familiarity with and an evaluative approach to a range of business data, sources of information and appropriate methodologies, and for such to inform the overall learning process; including the development of personal and team attributes and capabilities for entrepreneurial success;Self reflection and criticality including self awareness, openness and sensitivity to diversity in terms of people, cultures, business and management issues;Skills of learning to learn and developing a continuing appetite for learning; reflective, adaptive and collaborative learning."
GD111,Introduction to Visual Perception,4,"The course introduces the student to the translation of perception through delineation, drawing, and other descriptive media from a design perspective. Emphasis of the course is on the development of students' motor control by means of freehand and mechanical drawing and by development of analytical and objective observation from life and three-dimensional objects. Also, the course will help the student to learn  The basic principles of design, composition, Lines and shapes as mediums. Application is by problem-solving and exploration of the elements and principles in two dimensional means and in a contemporary mode of expression and sketching technique from body figures to industrial representation. This studio introduces the student to the elements and concepts of two dimensional design compositions. Formal and relational properties of line, shape, form, value, and texture are studied. Studio exercises using various media explore concepts of balance, harmony, repetition, rhythm, scale, proportion, time and motion in 2-dimensional compositions.  1. The courses ""Digital Visualization Studio"" (5VC017) and ""Visual Narrative"" (5VC012) will build on the design basics concepts and skills acquired from this course ""Introduction to Art and Design in Context"".  2. Illustration: This course introduces students to illustration as an art and design form of visual communication. It emphasizes the development of problem solving skills from the initial stage to the final implementation stage of image making. It uses drawing techniques such as black and white.",EL099,"The aims of the art and design in context are:Acquire the theory necessary for the practice of drawing for designersDiscern the drawing componentRecognize and appreciate design in nature and all creationAcquire the basic terminology of the design professionDevelop an understanding of ""why to do it"" as well as ""how to do it""Acquire technical proficiency in the use of the tools and materials of designApply the elements of design to exploit their use through one's own perception.Master the essential drawing skills and techniques such as gestalt, light and shadow, relationship, spaces and edges.Acquire a comprehensive knowledge, theories, and concepts about illustration and its major roles as an artistic form and visual communication tool.Develop substance knowledge of drawing techniques, art styles, drawing mediums and craftsmanship needed for image making.Acquire a competency with the tools and techniques associated with the art of illustration.Explore interdisciplinary forms of art making such as drawings, collage and mixed media.Develop an appreciation and tolerance of diverse perspectives dealing with art and culture.Become involved in collaborative art experiences.Use the elements of design in creative manners to produce aesthetically pleasing compositions.Develop self-expression and effective visual communication.Use appropriate critical vocabulary to describe and analyse works of art.","A. Knowledge and understandingOn completion of the course students will be able to:On completion of the course students will be able to:Get familiar with the drawing elements: colour, shape, line, tone, texture, form, etc.Define the visual rolls of design principles: balance, contrast, cropping, etc. in design.Identify the design elements and principles that satisfy the stated purpose.Demonstrate knowledge and understanding of the role of perception as a communication tool in graphic and multimedia design.Research, analyse, identify, and apply key aspects of the subject matter, the artistic techniques and the principles of drawing.Use appropriate terminology to describe illustration types, styles, mediums, techniques and processes.Explain, discuss and critique illustration art work, including some reference to the art historical, social, and cultural context.B. Cognitive skillsOn completion of the course students will be able to:Enrich skills of combining manual methodologies and materials in order to fulfil certain function.Read text materials and identify key points and concepts that should or could be communicated through an illustration.Select data and information from various sources and analyse and present them on an appropriate manner to support a project and its solution.Communicate effectively visual concepts showing recognition of the target audience and the purpose of the illustrations.Identify key elements of the subject matter needed to be illustrated and its purpose and identify the appropriate artistic techniques and methods for producing illustration projects.C. Practical and professional skillsOn completion of the course students will be able to:Develop the ability to synthesize into a coherent point of view and communicate it through 2D and 3D formats.Employ technical and artistic skills needed to create highly crafted illustration projects that communicate ideas for specific target audience and for various design applications.Use effectively and creatively elements and principles of design in the creation of illustration projects.Identify and communicate visually alternative solutions.Create effective art composition by applying design principles and appropriate rules of composition.D. Key transferable skillsOn completion of the course students will be able to:Translate verbal meanings into design forms, by using different materials and methodologies.Discuss your work and the work of others with confidence and to offer critical feedback to their classmates.Design, illustrate, and complete individual projects for various purposes and audience in effective and creative manner.Create a portfolio of graphic design and multimedia projects and display finished works in a professional manner.Classify illustrations according to types of design problems, subject matter and applications.Demonstrate an understanding of the demands and expectations of the illustration profession."
GD124,Digital Photography I,4,"The objective of this course is to teach the students basic technical photography in a simple and interesting way as well as to teach them the manipulation of photographic tools and different kinds of lighting.   This course focuses on the artistic importance of photography by studying different themes (landscape  portrait  fashion) and by emphasizing on composition, appropriate lighting, timing of picture and messages in artistic photos.",GD113,"Understand the history of photographyBecome proficient at the technical aspect of photographing with a cameraUse camera manually (Aperture, Shutter Speed, ISO, White Balance, Focus)Understand the relationship between ISO, Shutter Speed and Aperture (Exposure triangle)Understand the difference between quantity and color of the light (white balance, kelvin)Recognition and manipulation of the direction of light (6 key directions: Frontal, 45degree, 90 degree, Zenithal, Diabolic, Back light)Construct the proper lighting and acknowledge the importance of the light and reflections (key light, fill light, back light, background light)Understand the rules of image compositionEmphasize on the artistic part of the image and different themes of photographyConceptual thinking and visualizing concepts via imagesStudying the work of great photographers (Ansel Adams, Henri Cartier Bresson)","A. Knowledge and understandingUpon completion of the course students will be able to:Understand camera controls: shutter speed, aperture, ISO...Capture well framed and exposed imagesDemonstrate knowledge and understanding of the role of photography in these times.Recognize and manipulate the direction of light.Emphasize on the artistic part of the image and different themes and fields of photography.B. Cognitive skillsUpon completion of the course students will be able to:Develop skills of combining manual methodologies and materials in order to fulfil certain functions.Read text materials and identify key points and concepts that should or could be communicated through a photo.Select data and information from various sources and analyse and present them on an appropriate manner to support a project and its solution.Communicate effectively visual concepts showing recognition of the target audience and the purpose of the photo.Identify key elements of the subject matter needed to be photographed and its purpose and identify the appropriate artistic techniques and methods for producing image projects.C. Practical and professional skillsUpon completion of the course students will be able to:Develop the ability to synthesize coherent creative thoughts and communicate them through images.Employ technical and artistic skills needed to create beautiful photo projects that communicate specific concepts and ideas to the target audience.Use effectively and creatively elements and principles of photography in the creation of a narrative.Identify and communicate visually alternative solutions.Create effective art photos by applying principles and appropriate rules of composition.D. Key transferable skillsUpon completion of the course students will be able to:Translate verbal meanings into photo forms, by using different materials and methodologies.Discuss their work and the work of others with confidence and to offer critical feedback to their classmates.Use photos to complete individual projects for various purposes and audience in an effective and creative manner.Create a portfolio of visually and conceptually strong photographs and display these finished works in a professional manner.Classify photography according to types, subjects and applications.Demonstrate an understanding of the demands and expectations of the photography profession."
GD126,Introduction to Multimedia Design,4,"The Objective of this course is to familiarise the students with all aspects of Multimedia, whether be it a brief look into the history of Cinema, TV, and Social Media or the manipulation of Audio, Video and light equipment and tools of the trade including a brief overview on editing. How to address every job title and learn how a basic shoot works. This course will also cover famous directors, great scenes, how to breakdown a commercial or a video clip and to be able to think creatively and reproduce any Multimedia project the student desires. The course is also designed to enrich the students with a vast knowledge and by the end they will be able to view TV and Cinema while having a critics point of view. The students will also see how Multimedia came to be from the Film reels of Cinema to the Modern day age of Digital shooting.",GD111,"The aim of the course is to start by focusing on the audio aspect of Multimedia alone such as the manipulation of Microphones and the correct way of recording then to move on to learning about video alone through the manipulation of a digital camera and correct capturing.The integration of both mentioned items above into one consolidated form which is a single line of short film with an editing tool.Learning about audio and video imports and exportsLearning basic special effects in editingAn introduction into script writingUnderstanding the in-depth of the work that goes through in making TVC, Clips and Movies.To learn the proper wording used on sets for camera movements and the proper etiquette for each set.To learn about lighting equipment and indoor VS Outdoor shootings.","A. Knowledge and understandingOn completion of this course the student will be able to:Get familiar with Microphones, Cameras, Lighting equipment, Grip and editing tools.Recognize and manipulate the indoor v/s Outdoor lighting correctly.See Artistically the movies and clips and be able to criticise the image in front of them.Learn the basics in Video effects.Brief history of Multimedia.B. Cognitive skillsOn Completion of this course the student will be able to :Read through a Video and avoid making industry mistakes.Learn how to make and read storyboards.Be able to calculate frame rate and make high speed and low speed movies.Understand how the Multimedia made the world smaller and that every person can become a director.Understand the meaning of resolutions in Multimedia and how to convert formats.C. Practical and professional skillsOn Completion of this course the student will be able to :Manipulate Microphones and record sound correctly.Manipulate Cameras and capture video correctly.Audio and Video integration into and editing program.Manipulate light equipment correctly.Import Export Audios and Videos into a short TVC or Clip or Short Movie.Breakdown a movie into parts and put it all on paper.D. Key transferable skillsOn Completion of this course the student will be able to :Understand how to read a breakdown and make one from a scene.Understand the Multimedia Market.Open a YouTube channelthe student will be able to make a project quotation from zero.On set etiquette and understanding the job of every person on the shooting team"
GT101,Learning and Information Technology,3,Learning and Information Technology is a fundamental module for all students enrolled in Arab Open University. It provides students a college level academic experiences that develop self-learning skills. It also provides students with a broad introduction to computing and Information Technology concepts and principles.,-,"The module aims to:Introduce e-Learning concepts such as meaning, accessibility, skills, and resources.Help students to develop their understanding about flexible learning.Prepare the student for further academic studies by helping them develop their study skills.Enhance students knowledge about basic computer system applications, big data, IoT and AI.Familiarize with the basic concepts of Information Technology: Internet, Web, and Systems.Introduce students to the concepts of security and ethics.","A. Knowledge and understandingStudents will be able to:Define the different learning styles.Describe the differences betweenconventional and blended-learningeducation systems.Understand how to create learningopportunities that are adapted tolearners.Understand the development oflearning strategies to promote effectivelearning.Explain the Web and Internetinventions.Explain different parts in computersystem.Explain different terms in digitalcommunication such as network,connectivity, wireless, server, client andIoT.Describe the e-commerce and big data.Understand clearly the differencebetween privacy and security.Describe what are computer ethics andcomputer crime.B. Cognitive skillsStudents will be able to:Learn by themselves and describe thedifference between learning styles.Apply problem-solving techniques.Compare different learning strategies.Apply skills needed for effectivelearning.Use an understanding of individual andgroup behavior to create an activelearning environment.Deal with computer problems.Describe the Web and search engines.C. Practical and professional skillsStudents will be able to:Read analytically and critically forlearning and avoid plagiarisms.Connect and surf the internet, searchusing the search engines and send andreceive email, and share files in a secure way, and avoid computer crime and use computer ethically.Organize and manage a plan for optimallearning.Enhance the learning environment byincorporating the use of technologicalequipment.Operate the computer system properly and interact with applications and programs confidently.Communicate with others electronically(Email, instant messaging, blogs, microblogsand wikis) and Initiate atransaction electronically (e-commerce)in a secure way and use the social media in the process of learning andcommunication with others.D. Key transferable skillsStudents will be able to:Interact effectively within a group usingsocial media and electronic conferencing techniques.Working in groups using the LMSsystem and course forum online andcontribute to discussions on a conference using instant messaging.Improve own learning andperformance.Work independently, scheduling(schedule) tasks and mange timeeffectively.Utilize effective environments forlearning.Take responsibility for personal andprofessional learning.Manage learning time effectively."
M109,.NET Programming,3,This module is intended to introduce and present the fundamental skills that are required to design and develop object-oriented programs and applications in .NET Framework,-,To understand the .NET framework architecture.To provide students with a range of skills to analyze a problem and construct a .NET program that solves it.To provide the principles of object oriented programming.To implement object-oriented concepts in .NET environment.To understand the Visual Studio Integrated Development EnvironmentTo develop .NET applications using the selected programming language.,"A.Knowledge andunderstandingExplain .NET Platform.Describe data types, variables, constants, operators and built-in functions in the selected .NET programming language.Discuss decision-making and looping statements.Explain object oriented concepts such as classes, objects and methods.Describe the features of object oriented programming such as Inheritance and Polymorphism.Explain the concept of arrays.Identify errors and different types of exceptions in a .NET program.B. Cognitive skillsUpon completing this module, students will be able to:Develop appropriate programs in .NET framework.Apply object oriented concepts in .NET framework.Test and debug a .NET programC. Practical and professional skillsUpon completing this module, students will be able to:Develop programming skills in .NET platform.Use variables, constants, operators, built-in functions, methods and arrays in a .NET program.Write codes in a .NET programming language that make use of structured programming constructs of sequence, selection and repetition.Apply classes, objects and other object oriented concepts such as inheritance and polymorphism in a .NET program.Test and debug .NET programs.Use the Visual Studio IDE to build .NET applications using the selected .NET programming language.D. Key transferable skillsUpon completing this module, students will be able to:Collaborate effectively within a group using electronic conferencing techniques.Facilitate discussions in a conference.Develop self- learning and performance.Discuss about testing strategies, design, and code.Use electronic media (the web and electronic conferencing) for information retrieval and communication."
M110,Python Programming,8,"This module is an introductory level programming module that is meant to provide a foundation in computer programming to students. Students will learn how to develop solutions (algorithms) using pseudocode to solve problems. Thereafter, students will learn how to implement these solutions using a programming language (Python). This module serves as the foundation for higher-level modules.",EL111,This module aims to: Help student to develop their understanding of the available techniques of designing / solving different problems using pseudocode. Explore a variety of algorithmic thinking and problem-solving skills using examples from everyday life. Enhance students knowledge about implementing solutions to problems in a visual programming using Python. Provide the students with the required skills to possess the programming skills. Prepare the student for further academic study by helping him develop his study skills.,
